RecoleccionID,Fecha,Distrito,Residuo,Toneladas,TiempoRuta,Saturacion,Quejas,DistanciaKm,EstadoCamion
1,2026-02-14,Los Olivos,Peligroso,2.14,43,41,1,19.29,Operativo
2,2026-03-12,Ancón,Metal,6.64,70,54,0,4.67,Operativo
3,2024-12-08,Independencia,Orgánico,2.88,46,84,5,13.31,Operativo
4,2025-02-05,Ancón,Metal,8.16,48,50,5,21.29,Operativo
5,2024-10-08,Santa Rosa,Metal,6.53,59,91,0,9.88,Operativo
6,2025-10-10,Independencia,Plástico,5.8,50,95,1,30.6,Operativo
7,2026-04-22,Puente Piedra,Peligroso,13.71,50,41,4,13.55,Operativo
8,2024-09-13,San Martín de Porres,Metal,2.66,66,74,1,30.14,Operativo
9,2024-11-09,Independencia,Plástico,12.52,62,27,5,5.41,Operativo
10,2024-10-08,Independencia,Vidrio,5.61,53,32,4,6.92,Operativo
11,2025-09-04,Independencia,Orgánico,15.98,66,74,2,25.29,Operativo
12,2024-12-24,Puente Piedra,Papel y Cartón,19.85,66,24,3,19.37,Operativo
13,2024-12-19,Comas,Vidrio,12.99,52,23,1,28.33,Operativo
14,2025-12-29,Ancón,Metal,11.84,52,50,4,6.27,Operativo
15,2024-12-15,Ancón,Metal,2.89,40,95,5,11.17,Operativo
16,2024-10-30,Los Olivos,Peligroso,16.26,79,81,2,20.98,Operativo
17,2025-09-26,Ancón,Orgánico,6.67,39,27,3,28.82,Operativo
18,2024-08-05,Puente Piedra,Orgánico,13.26,44,22,0,29.36,Operativo
19,2025-04-22,Santa Rosa,Orgánico,14.37,77,98,0,14.21,Operativo
20,2024-11-13,Carabayllo,Papel y Cartón,4.62,55,29,3,21.25,Operativo
21,2025-07-03,Santa Rosa,Vidrio,3.7,30,53,2,27.9,Operativo
22,2026-04-08,Ancón,Plástico,13.5,58,89,0,5.09,Operativo
23,2024-11-07,Santa Rosa,Orgánico,5.05,26,73,1,8.46,Mantenimiento
24,2024-07-13,Santa Rosa,Vidrio,17.87,46,86,1,5.84,Operativo
25,2024-08-26,Ancón,Metal,15.6,78,57,3,29.82,Operativo
26,2024-12-24,Puente Piedra,Peligroso,6.82,60,90,4,31.81,Operativo
27,2026-04-17,San Martín de Porres,Vidrio,3.59,43,76,2,11.21,Operativo
28,2025-04-13,San Martín de Porres,Vidrio,12.57,29,25,5,22.84,Mantenimiento
29,2024-08-13,Santa Rosa,Peligroso,18.11,41,78,3,27.74,Mantenimiento
30,2026-04-12,Los Olivos,Orgánico,18.41,55,30,1,16.11,Operativo
31,2025-06-25,Santa Rosa,Vidrio,16.27,60,82,1,9.62,Mantenimiento
32,2026-03-15,Comas,Papel y Cartón,5.55,54,98,4,4.09,Operativo
33,2026-05-06,Los Olivos,Vidrio,5.4,24,28,1,11.41,Operativo
34,2024-12-25,Santa Rosa,Plástico,7.44,40,29,5,16.79,Operativo
35,2025-09-16,Independencia,Metal,15.04,31,72,5,34.64,Operativo
36,2025-10-24,Santa Rosa,Plástico,8.88,60,40,2,27.97,Operativo
37,2025-08-07,Ancón,Vidrio,4.27,27,86,5,17.87,Mantenimiento
38,2024-12-15,Carabayllo,Papel y Cartón,12.08,62,45,3,27.33,Mantenimiento
39,2026-03-27,Comas,Plástico,9.83,36,62,4,20.14,Operativo
40,2026-05-25,Comas,Papel y Cartón,9.85,49,61,3,34.31,Operativo
41,2025-07-08,Comas,Orgánico,3.4,62,33,1,17.75,Mantenimiento
42,2025-03-21,Los Olivos,Papel y Cartón,18.71,53,33,1,20.65,Operativo
43,2025-05-31,Santa Rosa,Peligroso,12.65,76,64,1,18.29,Operativo
44,2026-05-31,Santa Rosa,Metal,11.16,33,69,4,30.52,Operativo
45,2024-08-18,Puente Piedra,Plástico,5.37,43,87,3,30.53,Operativo
